EnumTypesDirectory;EnumTypesFile;InteropEnumsDirectory;InteropEnumsFile;TypeNameSimilarityPercent;FieldsSimilarityPercent
Wordprocessing\Document;CaptionPosition.cs;Word;WdCaptionPosition.cs;100.0;100.0
Wordprocessing\Unused;CollapseDirection.cs;Word;WdCollapseDirection.cs;100.0;100.0
Drawings.Charts\Common\Analysis;ErrorBarDirection.cs;Core;XlErrorBarDirection.cs;100.0;100.0
Wordprocessing\Run properties;Ligatures.cs;Word;WdLigatures.cs;100.0;100.0
Wordprocessing\Unused;ListLevelAlignment.cs;Word;WdListLevelAlignment.cs;100.0;100.0
Wordprocessing\Mail merge;MailMergeDestination.cs;Word;WdMailMergeDestination.cs;100.0;100.0
Wordprocessing\Unused;MeasurementUnits.cs;Word;WdMeasurementUnits.cs;100.0;100.0
Wordprocessing\Run properties;NumberForm.cs;Word;WdNumberForm.cs;100.0;100.0
Wordprocessing\Run properties;NumberSpacing.cs;Word;WdNumberSpacing.cs;100.0;100.0
Drawings.Charts\Specific char types;SizeRepresents.cs;Core;XlSizeRepresents.cs;100.0;100.0
Wordprocessing\Unused;SortOrder.cs;Core;MsoSortOrder.cs;100.0;100.0
Wordprocessing\Unused;Statistic.cs;Word;WdStatistic.cs;100.0;100.0
Drawings.Charts\Common\Axis;TickMark.cs;Core;XlTickMark.cs;100.0;100.0
Drawings.Charts\Common\Axis;TimeUnit.cs;Core;XlTimeUnit.cs;100.0;100.0
Windows;WindowState.cs;Word;WdWindowState.cs;100.0;100.0
Windows;WindowType.cs;Word;WdWindowType.cs;100.0;100.0
Wordprocessing.Drawings;PresetCamera.cs;Core;MsoPresetCamera.cs;100.0;99.2
Wordprocessing.Drawings;LightRigType.cs;Core;MsoLightRigType.cs;100.0;98.18
Drawings.Charts\Formatting;MarkerStyle.cs;Core;XlMarkerStyle.cs;100.0;91.67
Drawings\3D;LightRigType.cs;Core;MsoLightRigType.cs;100.0;90.91
Wordprocessing\Unused;TabAlignment.cs;Word;WdTabAlignment.cs;100.0;90.91
Drawings.ChartStyle;MarkerStyle.cs;Core;XlMarkerStyle.cs;100.0;85.71
Wordprocessing\Unused;ParagraphAlignment.cs;Core;MsoParagraphAlignment.cs;100.0;85.71
Drawings\Text elements and properties;TextStrike.cs;Core;MsoTextStrike.cs;100.0;85.71
Wordprocessing\Paragraph properties;OutlineLevel.cs;Word;WdOutlineLevel.cs;100.0;84.21
Wordprocessing\Unused;Information.cs;Word;WdInformation.cs;100.0;83.54
Wordprocessing\Unused;TextOrientation.cs;Core;MsoTextOrientation.cs;100.0;83.33
Drawings.Charts\Common\Analysis;TrendlineType.cs;Core;XlTrendlineType.cs;100.0;83.33
Wordprocessing\Sections;PaperSize.cs;Word;WdPaperSize.cs;100.0;77.23
Drawings.Charts\Common\Axis;TickLabelPosition.cs;Core;XlTickLabelPosition.cs;100.0;75.0
Math;VerticalAlignment.cs;Word;WdVerticalAlignment.cs;100.0;75.0
Wordprocessing\Unused;BaselineAlignment.cs;Core;MsoBaselineAlignment.cs;100.0;72.73
Drawings.Charts\Common;LegendPosition.cs;Core;XlLegendPosition.cs;100.0;72.73
Drawings.Charts\Data;DataLabelPosition.cs;Core;XlDataLabelPosition.cs;100.0;70.0
Wordprocessing.Drawings;PresetMaterial.cs;Core;MsoPresetMaterial.cs;100.0;68.75
Wordprocessing\Unused;TabLeader.cs;Word;WdTabLeader.cs;100.0;66.67
Wordprocessing\Unused;TrailingCharacter.cs;Word;WdTrailingCharacter.cs;100.0;66.67
Wordprocessing.Vml;WrapType.cs;Word;WdWrapType.cs;100.0;61.54
Wordprocessing\Styles;StyleType.cs;Word;WdStyleType.cs;100.0;60.0
Wordprocessing\Paragraph properties;TextBoxTightWrap.cs;Word;WdTextboxTightWrap.cs;100.0;60.0
Wordprocessing\Frames and framesets;VerticalAlignment.cs;Word;WdVerticalAlignment.cs;100.0;60.0
Vml;ScreenSize.cs;Core;MsoScreenSize.cs;100.0;58.82
Wordprocessing\Paragraph properties;TabStopType.cs;Core;MsoTabStopType.cs;100.0;57.14
Vml;ConnectorType.cs;Core;MsoConnectorType.cs;100.0;50.0
Vml;FillType.cs;Core;MsoFillType.cs;100.0;36.36
Drawings.Charts\Common;DisplayBlanksAs.cs;Core;XlDisplayBlanksAs.cs;100.0;33.33
Wordprocessing\Common;TextDirection.cs;Core;MsoTextDirection.cs;100.0;26.67
Wordprocessing\Run properties;EmphasisMark.cs;Word;WdEmphasisMark.cs;100.0;20.0
Drawings\Shape properties;BlackWhiteMode.cs;Core;MsoBlackWhiteMode.cs;100.0;18.18
Wordprocessing\Unused;StylisticSet.cs;Word;WdStylisticSet.cs;100.0;4.76
Drawings.Diagrams;AxisType.cs;Core;XlAxisType.cs;100.0;0.0
Vml;BorderType.cs;Word;WdBorderType.cs;100.0;0.0
Wordprocessing\Common;BorderType.cs;Word;WdBorderType.cs;100.0;0.0
Wordprocessing\Run content;BreakType.cs;Word;WdBreakType.cs;100.0;0.0
Wordprocessing\Unused;Color.cs;Core;MsoColorType.cs;100.0;0.0
Wordprocessing\Unused;ColorIndex.cs;Core;XlColorIndex.cs;100.0;0.0
Wordprocessing\Document;DocumentType.cs;Word;WdDocumentType.cs;100.0;0.0
Drawings.Charts\Common\Analysis;ErrorBarType.cs;Core;XlErrorBarType.cs;100.0;0.0
Wordprocessing\Frames and framesets;HorizontalAnchor.cs;Core;MsoHorizontalAnchor.cs;100.0;0.0
Drawings.Charts\Common;LayoutMode.cs;Word;WdLayoutMode.cs;100.0;0.0
Drawings.Charts\Common\Axis;Orientation.cs;Core;MsoOrientation.cs;100.0;0.0
Vml;ShadowType.cs;Core;MsoShadowType.cs;100.0;0.0
