"WordDirectory";"WordFile";"WordprocessingDirectory";"WordprocessingFile";"TypeNameSimilarityPercent";"FieldsSimilarityPercent"
".";"ColorIndex.cs";"Unused";"ColorIndex.cs";"100";"94"
".";"OutlineLevel.cs";"Paragraph properties";"OutlineLevel.cs";"100";"94"
".";"TwoLinesInOneType.cs";"Unused";"TwoLinesInOneBracket.cs";"75";"90"
".";"BaselineAlignment.cs";"Unused";"BaselineAlignment.cs";"100";"80"
".";"Underline.cs";"Run properties";"UnderlineType.cs";"81";"77"
".";"ParagraphAlignment.cs";"Unused";"ParagraphAlignment.cs";"100";"75"
".";"HorizontalLineAlignment.cs";"Frames and framesets";"HorizontalAlignment.cs";"90";"75"
".";"TabLeader.cs";"Unused";"TabLeader.cs";"100";"66"
".";"TrailingCharacter.cs";"Unused";"TrailingCharacter.cs";"100";"66"
".";"CellVerticalAlignment.cs";"Frames and framesets";"VerticalAlignment.cs";"89";"66"
".";"SortFieldType.cs";"Unused";"SortField.cs";"81";"66"
".";"AlignmentTabAlignment.cs";"Unused";"TabAlignment.cs";"72";"66"
".";"WrapType.cs";"Vml";"WrapType.cs";"100";"61"
".";"StyleType.cs";"Styles";"StyleType.cs";"100";"60"
".";"TextboxTightWrap.cs";"Paragraph properties";"TextBoxTightWrap.cs";"100";"60"
".";"VerticalAlignment.cs";"Frames and framesets";"VerticalAlignment.cs";"100";"60"
".";"SectionStart.cs";"Document";"SectionMarkType.cs";"74";"60"
".";"ReferenceType.cs";"Footnotes and endnotes";"NoteReferenceType.cs";"86";"50"
".";"WrapTypeMerged.cs";"Vml";"WrapType.cs";"72";"50"
".";"MailMergeMainDocType.cs";"Mail merge";"MailMergeDocument.cs";"70";"42"
".";"Color.cs";"Unused";"Color.cs";"71";"41"
".";"BuildingBlockTypes.cs";"Unused";"BuildingBlockType.cs";"97";"40"
".";"CalendarType.cs";"Sdt";"Calendar.cs";"80";"38"
".";"RelativeHorizontalSize.cs";"Drawings";"SizeRelativeHorizontally.cs";"78";"33"
".";"RelativeVerticalSize.cs";"Drawings";"SizeRelativeVertically.cs";"76";"33"
".";"BuiltinStyle.cs";"Styles";"BuiltInStyleType.cs";"85";"31"
".";"PageNumberAlignment.cs";"Drawings";"PenAlignment.cs";"77";"28"
".";"RelativeHorizontalPosition.cs";"Drawings";"SizeRelativeHorizontally.cs";"72";"28"
".";"LineSpacing.cs";"Paragraph properties";"LineSpacingRule.cs";"84";"22"
".";"EmphasisMark.cs";"Run properties";"EmphasisMark.cs";"100";"20"
".";"CalendarTypeBi.cs";"Sdt";"Calendar.cs";"72";"11"
".";"ScrollbarType.cs";"Unused";"Color.cs";"72";"9"
".";"LockType.cs";"Unused";"Color.cs";"70";"9"
".";"OpenFormat.cs";"Sdt";"DateFormat.cs";"70";"8"
".";"SaveFormat.cs";"Sdt";"DateFormat.cs";"80";"6"
".";"NoteNumberStyle.cs";"Unused";"NumberStyle.cs";"84";"5"
".";"PageNumberStyle.cs";"Unused";"NumberStyle.cs";"84";"5"
".";"CaptionNumberStyle.cs";"Unused";"NumberStyle.cs";"75";"5"
".";"StylisticSet.cs";"Unused";"StylisticSet.cs";"100";"4"
".";"ListNumberStyle.cs";"Unused";"ListLevelNumberStyle.cs";"85";"2"
".";"BorderType.cs";"Common";"BorderType.cs";"100";"0"
".";"BreakType.cs";"Run content";"BreakType.cs";"100";"0"
".";"DocumentType.cs";"Document";"DocumentType.cs";"100";"0"
".";"StoryType.cs";"Unused";"Story.cs";"100";"0"
".";"ViewType.cs";"Settings";"ViewType.cs";"100";"0"
".";"MailMergeDataSource.cs";"Mail merge";"MailMergeSource.cs";"88";"0"
".";"NewDocumentType.cs";"Document";"DocumentType.cs";"88";"0"
".";"JustificationMode.cs";"Paragraph properties";"Justification.cs";"86";"0"
".";"NumberType.cs";"Unused";"NumberStyle.cs";"85";"0"
".";"ViewTypeOld.cs";"Settings";"ViewType.cs";"84";"0"
".";"FieldType.cs";"Fields and hyperlinks";"FieldCharType.cs";"81";"0"
".";"FootnoteLocation.cs";"Footnotes and endnotes";"FootnotePosition.cs";"81";"0"
".";"GoToDirection.cs";"Common";"Direction.cs";"81";"0"
".";"MailMergeState.cs";"Mail merge";"MailMergeData.cs";"81";"0"
".";"TableDirection.cs";"Common";"TextDirection.cs";"81";"0"
".";"EndnoteLocation.cs";"Footnotes and endnotes";"EndnotePosition.cs";"80";"0"
".";"RelativeVerticalPosition.cs";"Run properties";"VerticalPosition.cs";"80";"0"
".";"ThemeColorIndex.cs";"Unused";"ColorIndex.cs";"80";"0"
