FileName;CoreEnumType;WordEnumType;TypeNameSimilarityPercent;FieldsSimilarityPercent
XlAxisCrosses.cs;XlAxisCrosses;XlAxisCrosses;100;100
XlAxisGroup.cs;XlAxisGroup;XlAxisGroup;100;100
XlAxisType.cs;XlAxisType;XlAxisType;100;100
XlBarShape.cs;XlBarShape;XlBarShape;100;100
XlBorderWeight.cs;XlBorderWeight;XlBorderWeight;100;100
XlCategoryLabelLevel.cs;XlCategoryLabelLevel;XlCategoryLabelLevel;100;100
XlCategoryType.cs;XlCategoryType;XlCategoryType;100;100
XlChartElementPosition.cs;XlChartElementPosition;XlChartElementPosition;100;100
XlChartItem.cs;XlChartItem;XlChartItem;100;100
XlChartPictureType.cs;XlChartPictureType;XlChartPictureType;100;100
XlChartSplitType.cs;XlChartSplitType;XlChartSplitType;100;100
XlColorIndex.cs;XlColorIndex;XlColorIndex;100;100
XlConstants.cs;XlConstants;XlConstants;100;100
XlDataLabelPosition.cs;XlDataLabelPosition;XlDataLabelPosition;100;100
XlDataLabelsType.cs;XlDataLabelsType;XlDataLabelsType;100;100
XlDisplayBlanksAs.cs;XlDisplayBlanksAs;XlDisplayBlanksAs;100;100
XlDisplayUnit.cs;XlDisplayUnit;XlDisplayUnit;100;100
XlEndStyleCap.cs;XlEndStyleCap;XlEndStyleCap;100;100
XlErrorBarDirection.cs;XlErrorBarDirection;XlErrorBarDirection;100;100
XlErrorBarInclude.cs;XlErrorBarInclude;XlErrorBarInclude;100;100
XlErrorBarType.cs;XlErrorBarType;XlErrorBarType;100;100
XlHAlign.cs;XlHAlign;XlHAlign;100;100
XlLegendPosition.cs;XlLegendPosition;XlLegendPosition;100;100
XlMarkerStyle.cs;XlMarkerStyle;XlMarkerStyle;100;100
XlPieSliceIndex.cs;XlPieSliceIndex;XlPieSliceIndex;100;100
XlPieSliceLocation.cs;XlPieSliceLocation;XlPieSliceLocation;100;100
XlPivotFieldOrientation.cs;XlPivotFieldOrientation;XlPivotFieldOrientation;100;100
XlReadingOrder.cs;XlReadingOrder;XlReadingOrder;100;100
XlRowCol.cs;XlRowCol;XlRowCol;100;100
XlScaleType.cs;XlScaleType;XlScaleType;100;100
XlSeriesNameLevel.cs;XlSeriesNameLevel;XlSeriesNameLevel;100;100
XlSizeRepresents.cs;XlSizeRepresents;XlSizeRepresents;100;100
XlTickLabelOrientation.cs;XlTickLabelOrientation;XlTickLabelOrientation;100;100
XlTickLabelPosition.cs;XlTickLabelPosition;XlTickLabelPosition;100;100
XlTickMark.cs;XlTickMark;XlTickMark;100;100
XlTimeUnit.cs;XlTimeUnit;XlTimeUnit;100;100
XlTrendlineType.cs;XlTrendlineType;XlTrendlineType;100;100
XlUnderlineStyle.cs;XlUnderlineStyle;XlUnderlineStyle;100;100
XlVAlign.cs;XlVAlign;XlVAlign;100;100
