"File","Line","Kind","AttrArgs","PropertyType","Property","Field"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Common properties\CustomProperty.cs","60","Property","nameof(DXCP.CustomDocumentProperty.PropertyId)","override int?","PropertyId","_FormatId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Common properties\CustomProperty.cs","66","Property","nameof(DXCP.CustomDocumentProperty.FormatId)","Guid?","FormatId","_FormatId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\Backstage.cs","23","Property","nameof(DXO10CUI.Backstage.OnShow)","String?","OnShow","_OnShow"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\Backstage.cs","30","Property","nameof(DXO10CUI.Backstage.OnHide)","String?","OnHide","_OnHide"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","16","Property","nameof(DXO10CUI.BackstageCheckBox.Expand)","Expand?","Expand","_Expand"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","23","Property","nameof(DXO10CUI.BackstageCheckBox.Description)","String?","Description","_Description"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","30","Property","nameof(DXO10CUI.BackstageCheckBox.GetDescription)","String?","GetDescription","_GetDescription"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","37","Property","nameof(DXO10CUI.BackstageCheckBox.Screentip)","String?","Screentip","_Screentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","44","Property","nameof(DXO10CUI.BackstageCheckBox.GetScreentip)","String?","GetScreentip","_GetScreentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","51","Property","nameof(DXO10CUI.BackstageCheckBox.Supertip)","String?","Supertip","_Supertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","58","Property","nameof(DXO10CUI.BackstageCheckBox.GetSupertip)","String?","GetSupertip","_GetSupertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","65","Property","nameof(DXO10CUI.BackstageCheckBox.Id)","String?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","72","Property","nameof(DXO10CUI.BackstageCheckBox.QualifiedId)","String?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","79","Property","nameof(DXO10CUI.BackstageCheckBox.Tag)","String?","Tag","_Tag"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","86","Property","nameof(DXO10CUI.BackstageCheckBox.OnAction)","String?","OnAction","_OnAction"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","93","Property","nameof(DXO10CUI.BackstageCheckBox.GetPressed)","String?","GetPressed","_GetPressed"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","100","Property","nameof(DXO10CUI.BackstageCheckBox.Enabled)","Boolean?","Enabled","_Enabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","107","Property","nameof(DXO10CUI.BackstageCheckBox.GetEnabled)","String?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","114","Property","nameof(DXO10CUI.BackstageCheckBox.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","121","Property","nameof(DXO10CUI.BackstageCheckBox.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","128","Property","nameof(DXO10CUI.BackstageCheckBox.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","135","Property","nameof(DXO10CUI.BackstageCheckBox.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","142","Property","nameof(DXO10CUI.BackstageCheckBox.Keytip)","String?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageCheckBox.cs","149","Property","nameof(DXO10CUI.BackstageCheckBox.GetKeytip)","String?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","22","Property","nameof(DXO10CUI.BackstageComboBox.Id)","String?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","29","Property","nameof(DXO10CUI.BackstageComboBox.QualifiedId)","String?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","36","Property","nameof(DXO10CUI.BackstageComboBox.Tag)","String?","Tag","_Tag"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","43","Property","nameof(DXO10CUI.BackstageComboBox.AlignLabel)","Expand?","AlignLabel","_AlignLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","50","Property","nameof(DXO10CUI.BackstageComboBox.Expand)","Expand?","Expand","_Expand"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","57","Property","nameof(DXO10CUI.BackstageComboBox.Enabled)","Boolean?","Enabled","_Enabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","64","Property","nameof(DXO10CUI.BackstageComboBox.GetEnabled)","String?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","71","Property","nameof(DXO10CUI.BackstageComboBox.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","78","Property","nameof(DXO10CUI.BackstageComboBox.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","85","Property","nameof(DXO10CUI.BackstageComboBox.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","92","Property","nameof(DXO10CUI.BackstageComboBox.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","99","Property","nameof(DXO10CUI.BackstageComboBox.Keytip)","String?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","106","Property","nameof(DXO10CUI.BackstageComboBox.GetKeytip)","String?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","113","Property","nameof(DXO10CUI.BackstageComboBox.GetText)","String?","GetText","_GetText"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","120","Property","nameof(DXO10CUI.BackstageComboBox.OnChange)","String?","OnChange","_OnChange"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","127","Property","nameof(DXO10CUI.BackstageComboBox.SizeString)","String?","SizeString","_SizeString"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","134","Property","nameof(DXO10CUI.BackstageComboBox.GetItemCount)","String?","GetItemCount","_GetItemCount"
