"File","DeclaringType","Property","Kind"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","ConnectionShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Extent","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","FromAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","GraphicFrame","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","GroupShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Picture","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Shape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\MarkerType.cs","MarkerType","XPosition","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\MarkerType.cs","MarkerType","YPosition","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","ConnectionShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","FromAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","GraphicFrame","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","GroupShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","Picture","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","Shape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","ToAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Macro","Property"
