"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","BackstageDropDown","GetItemLabel","Property","174"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Description","Property","16"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Enabled","Property","65"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetDescription","Property","23"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetEnabled","Property","72"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetKeytip","Property","114"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetLabel","Property","86"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetPressed","Property","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","GetVisible","Property","100"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Id","Property","30"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Keytip","Property","107"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Label","Property","79"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","OnAction","Property","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","QualifiedId","Property","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Tag","Property","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuCheckBox.cs","BackstageMenuCheckBox","Visible","Property","93"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","ConnectionShape","Element","49"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Extent","Element","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","FromAnchor","Element","14"
