EnumFile	Folder
AlignCmd.cs	Diagrams
AppLanguageID.cs	Unused
ArrowheadLength.cs	Drawings
ArrowheadStyle.cs	Drawings
ArrowheadWidth.cs	Drawings
AutomationSecurity.cs	Unused
AutoShapeType.cs	Common
AutoSize.cs	Drawings
AxisCrosses.cs	Charts
AxisGroup.cs	Charts
AxisType.cs	Charts
BackgroundStyleIndex.cs	Diagrams
BackstageGroupStyle.cs	Unused
BarShape.cs	Charts
BaselineAlignment.cs	Formatting
BevelType.cs	Drawings
BlackWhiteMode.cs	Diagrams
BorderWeight.cs	Unused
BulletType.cs	Unused
CalloutAngleType.cs	Unused
CalloutDropType.cs	Drawings
CalloutType.cs	Common
CategoryLabelLevel.cs	Charts
CategoryType.cs	Charts
CharacterSet.cs	Unused
ChartElementPosition.cs	Charts
ChartElementType.cs	Charts
ChartFieldType.cs	Range
ChartItem.cs	Unused
ChartOrientation.cs	Unused
ChartPictureType.cs	Charts
ChartSplitType.cs	Charts
ChartType.cs	Common
ClipboardFormat.cs	Range
ColorIndex.cs	Charts
ColorType.cs	Drawings
Condition.cs	FileSearch
Connector.cs	Common
ConnectorType.cs	Common
Constants.cs	Unused
CustomXMLNodeType.cs	CustomXml
CustomXMLValidationErrorType.cs	CustomXml
DataLabelPosition.cs	Charts
DataLabelsType.cs	Charts
DateTimeFormat.cs	Unused
DiagramNodeType.cs	Diagrams
DiagramType.cs	Diagrams
DisplayBlanksAs.cs	Charts
DisplayUnit.cs	Charts
DistributeCmd.cs	Diagrams
DocProperties.cs	DocumentProperties
EditingType.cs	Common
Encoding.cs	Unused
EncryptionCipherMode.cs	Unused
EndStyleCap.cs	Charts
ErrorBarDirection.cs	Charts
ErrorBarInclude.cs	Charts
ErrorBarType.cs	Charts
ExtraInfoMethod.cs	Unused
ExtrusionColorType.cs	Drawings
FarEastLineBreakLanguageID.cs	Unused
FeatureInstall.cs	Unused
FileDialogType.cs	Unused
FileDialogView.cs	Unused
FileNewAction.cs	Unused
FileNewSection.cs	Unused
FileValidationMode.cs	Unused
FillType.cs	Drawings
FlipCmd.cs	Diagrams
FontLanguageIndex.cs	Themes
GradientColorType.cs	Drawings
GradientStyle.cs	Drawings
HAlign.cs	Unused
HorizontalAnchor.cs	Drawings
HTMLProjectOpen.cs	Web and 'HTML
HTMLProjectState.cs	Web and 'HTML
HyperlinkType.cs	CommandBars
IodGroup.cs	Unused
LanguageID.cs	Common
LanguageIDHidden.cs	Unused
LastModified.cs	Unused
LegendPosition.cs	Charts
LightRigType.cs	Drawings
LineCapStyle.cs	Unused
LineDashStyle.cs	Drawings
LineFillType.cs	Unused
LineJoinStyle.cs	Unused
LineStyle.cs	Common
MailFormat.cs	Unused
MarkerStyle.cs	Charts
MergeCmd.cs	Diagrams
MetaPropertyType.cs	DocumentProperties
MixedType.cs	Unused
MsoDocProperties.cs	Unused
NumberedBulletStyle.cs	Unused
OrgChartLayoutType.cs	Common
OrgChartOrientation.cs	Unused
Orientation.cs	Common
ParagraphAlignment.cs	Formatting
PathFormat.cs	Drawings
PatternType.cs	Drawings
PictureColorType.cs	Drawings
PictureCompress.cs	Diagrams
PictureEffectType.cs	Drawings
PieSliceIndex.cs	Charts
PieSliceLocation.cs	Charts
PivotFieldOrientation.cs	Unused
PresetCamera.cs	Drawings
PresetExtrusionDirection.cs	Drawings
PresetGradientType.cs	Common
PresetLightingDirection.cs	Drawings
PresetLightingSoftness.cs	Drawings
PresetMaterial.cs	Drawings
PresetTextEffect.cs	Common
PresetTextEffectShape.cs	Drawings
PresetTexture.cs	Common
PresetThreeDFormat.cs	Drawings
PropertyType.cs	Unused
ReadingOrder.cs	Charts
ReflectionType.cs	Drawings
RelativeNodePosition.cs	Diagrams
RibbonControlSize.cs	Unused
RowCol.cs	Charts
ScaleFrom.cs	Diagrams
ScaleType.cs	Charts
ScreenSize.cs	Unused
ScriptLanguage.cs	Web and 'HTML
ScriptLocation.cs	Web and 'HTML
SegmentType.cs	Common
SeriesNameLevel.cs	Charts
ShadowStyle.cs	Drawings
ShadowType.cs	Drawings
ShapeStyleIndex.cs	Diagrams
ShapeType.cs	Diagrams
SignatureType.cs	Unused
SizeRepresents.cs	Charts
SmartArtNodePosition.cs	SmartArt
SmartArtNodeType.cs	SmartArt
SoftEdgeType.cs	Common
SortOrder.cs	FileSearch
TabStopType.cs	Formatting
TargetBrowser.cs	Unused
TextCaps.cs	Formatting
TextChangeCase.cs	Range
TextCharWrap.cs	Unused
TextDirection.cs	Formatting
TextEffectAlignment.cs	Drawings
TextFontAlign.cs	Unused
TextOrientation.cs	Common
TextStrike.cs	Formatting
TextTabAlign.cs	Unused
TextUnderlineType.cs	Formatting
TextureAlignment.cs	Drawings
TextureType.cs	Drawings
ThemeColorIndex.cs	Unused
ThemeColorSchemeIndex.cs	Themes
TickLabelOrientation.cs	Charts
TickLabelPosition.cs	Charts
TickMark.cs	Charts
TimeUnit.cs	Charts
TrendlineType.cs	Charts
TriState.cs	Common
UnderlineStyle.cs	Formatting
VAlign.cs	Unused
VerticalAnchor.cs	Drawings
WarpFormat.cs	Drawings
WizardMsgType.cs	Unused
ZOrderCmd.cs	Diagrams
