EnumTypeDirectory;EnumTypeName;InterfaceTypeDirectory;InterfaceTypeName
Application;AlertButtonType;Application\Assistance;Assistant
Application;AlertCancelType;Application\Assistance;Assistant
Application;AlertDefaultType;Application\Assistance;Assistant
Application;AlertIconType;Application\Assistance;Assistant
Application;AnimationType;Application\Assistance;Assistant
Application;AnimationType;Application\Baloons;Balloon
Application;AutomationSecurity;Application;_Application
Application;BalloonButtonType;Application\Baloons;Balloon
Application;BalloonErrorType;Application\Assistance;Assistant
Application;BalloonType;Application\Baloons;Balloon
Application;BarPosition;Application\CommandBars;CommandBar
Application;BlogCategorySupport;Application\BlogExtensibility;IBlogExtensibility
Application;BroadcastState;Application\SharedWorkspace;Broadcast
Application;ButtonSetType;Application\Baloons;Balloon
Application;ButtonState;Application\CommandBars;_CommandBarButton
Application;ButtonStyle;Application\CommandBars;_CommandBarButton
Application;CTPDockPosition;Application\CustomTaskPanes;_CustomTaskPane
Application;CTPDockPositionRestrict;Application\CustomTaskPanes;_CustomTaskPane
Application;CertificateDetail;Application\Security;SignatureInfo
Application;CertificateVerificationResults;Application\Security;SignatureInfo
Application;CertificateVerificationResults;Application\Security;SignatureProvider
Application;ComboStyle;Application\CommandBars;_CommandBarComboBox
Application;CommandBarButtonHyperlinkType;Application\CommandBars;_CommandBarButton
Application;Condition;Common properties;PropertyTest
Application;Condition;Common properties;PropertyTests
Application;Condition;Wordprocessing\Tables;TableStyle
Application;Connector;Common properties;PropertyTest
Application;Connector;Common properties;PropertyTests
Application;Connector;Drawings;Shape
Application;Connector;Drawings;ShapeRange
Application;ContactCardAddressType;Application\ContactCard;ContactCard
Application;ContactCardStyle;Application\ContactCard;ContactCard
Application;ContactCardType;Application\ContactCard;ContactCard
Application;ContentVerificationResults;Application\Security;SignatureInfo
Application;ContentVerificationResults;Application\Security;SignatureProvider
Application;ControlOLEUsage;Application\CommandBars;CommandBarControl
Application;ControlOLEUsage;Application\CommandBars;CommandBarPopup
Application;ControlOLEUsage;Application\CommandBars;_CommandBarActiveX
Application;ControlOLEUsage;Application\CommandBars;_CommandBarButton
Application;ControlOLEUsage;Application\CommandBars;_CommandBarComboBox
Application;ControlType;Application\CommandBars;CommandBarControl
Application;ControlType;Application\CommandBars;CommandBarPopup
Application;ControlType;Application\CommandBars;_CommandBarActiveX
Application;ControlType;Application\CommandBars;_CommandBarButton
Application;ControlType;Application\CommandBars;_CommandBarComboBox
Application;DocInspectorStatus;Application\DocumentInspectors;DocumentInspector
Application;EncryptionProviderDetail;Application\Security;EncryptionProvider
Application;FarEastLineBreakLanguageID;Wordprocessing\Documents;Template
Application;FarEastLineBreakLanguageID;Wordprocessing\Documents;_Document
Application;FeatureInstall;Application;_Application
