EnumTypesFullName,InteropEnumsFullName
DocumentModel.Drawings.BlackWhiteMode,MsoBlackWhiteMode
DocumentModel.Drawings.Charts.DataLabelPosition,DocumentModel.Interop.Core.XlDataLabelPosition
DocumentModel.Drawings.Charts.DisplayBlanksAs,DocumentModel.Interop.Core.XlDisplayBlanksAs
DocumentModel.Drawings.Charts.ErrorBarDirection,DocumentModel.Interop.Core.XlErrorBarDirection
DocumentModel.Drawings.Charts.ErrorBarType,DocumentModel.Interop.Core.XlErrorBarType
DocumentModel.Drawings.Charts.LayoutMode,DocumentModel.Interop.Word.WdLayoutMode
DocumentModel.Drawings.Charts.LegendPosition,DocumentModel.Interop.Core.XlLegendPosition
DocumentModel.Drawings.Charts.MarkerStyle,DocumentModel.Interop.Core.XlMarkerStyle
DocumentModel.Drawings.Charts.Orientation,MsoOrientation
DocumentModel.Drawings.Charts.SizeRepresents,DocumentModel.Interop.Core.XlSizeRepresents
DocumentModel.Drawings.Charts.TickLabelPosition,DocumentModel.Interop.Core.XlTickLabelPosition
DocumentModel.Drawings.Charts.TickMark,DocumentModel.Interop.Core.XlTickMark
DocumentModel.Drawings.Charts.TimeUnit,DocumentModel.Interop.Core.XlTimeUnit
DocumentModel.Drawings.Charts.TrendlineType,DocumentModel.Interop.Core.XlTrendlineType
DocumentModel.Drawings.ChartsStyle.MarkerStyle,DocumentModel.Interop.Core.XlMarkerStyle
DocumentModel.Drawings.Diagrams.AxisType,DocumentModel.Interop.Core.XlAxisType
DocumentModel.Drawings.LightRigType,MsoLightRigType
DocumentModel.Drawings.TextCaps,MsoTextCaps
DocumentModel.Drawings.TextStrike,MsoTextStrike
DocumentModel.Math.VerticalAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
DocumentModel.Vml.BorderType,DocumentModel.Interop.Word.WdBorderType
DocumentModel.Vml.ConnectorType,MsoConnectorType
DocumentModel.Vml.FillType,MsoFillType
DocumentModel.Vml.ScreenSize,MsoScreenSize
DocumentModel.Vml.ShadowType,MsoShadowType
DocumentModel.WindowState,DocumentModel.Interop.Word.WdWindowState
DocumentModel.WindowType,DocumentModel.Interop.Word.WdWindowType
DocumentModel.Wordprocessing.BaselineAlignment,MsoBaselineAlignment
DocumentModel.Wordprocessing.BorderType,DocumentModel.Interop.Word.WdBorderType
DocumentModel.Wordprocessing.BreakType,DocumentModel.Interop.Word.WdBreakType
DocumentModel.Wordprocessing.CaptionPosition,DocumentModel.Interop.Word.WdCaptionPosition
DocumentModel.Wordprocessing.CollapseDirection,DocumentModel.Interop.Word.WdCollapseDirection
DocumentModel.Wordprocessing.ColorIndex,DocumentModel.Interop.Core.XlColorIndex
DocumentModel.Wordprocessing.ColorType,MsoColorType
DocumentModel.Wordprocessing.DocumentType,DocumentModel.Interop.Word.WdDocumentType
DocumentModel.Wordprocessing.Drawings.LightRigType,MsoLightRigType
DocumentModel.Wordprocessing.Drawings.PresetCamera,MsoPresetCamera
DocumentModel.Wordprocessing.Drawings.PresetMaterial,MsoPresetMaterial
DocumentModel.Wordprocessing.EmphasisMark,DocumentModel.Interop.Word.WdEmphasisMark
DocumentModel.Wordprocessing.HorizontalAnchor,MsoHorizontalAnchor
DocumentModel.Wordprocessing.Information,DocumentModel.Interop.Word.WdInformation
DocumentModel.Wordprocessing.Ligatures,DocumentModel.Interop.Word.WdLigatures
DocumentModel.Wordprocessing.ListLevelAlignment,DocumentModel.Interop.Word.WdListLevelAlignment
DocumentModel.Wordprocessing.MailMergeDestination,DocumentModel.Interop.Word.WdMailMergeDestination
DocumentModel.Wordprocessing.MeasurementUnits,DocumentModel.Interop.Word.WdMeasurementUnits
DocumentModel.Wordprocessing.NumberForm,DocumentModel.Interop.Word.WdNumberForm
DocumentModel.Wordprocessing.NumberSpacing,DocumentModel.Interop.Word.WdNumberSpacing
DocumentModel.Wordprocessing.ParagraphAlignment,MsoParagraphAlignment
DocumentModel.Wordprocessing.SortOrder,DocumentModel.Interop.Core.MsoSortOrder
DocumentModel.Wordprocessing.Statistic,DocumentModel.Interop.Word.WdStatistic
DocumentModel.Wordprocessing.StoryType,DocumentModel.Interop.Word.WdStoryType
DocumentModel.Wordprocessing.StyleType,DocumentModel.Interop.Word.WdStyleType
DocumentModel.Wordprocessing.StylisticSet,DocumentModel.Interop.Word.WdStylisticSet
DocumentModel.Wordprocessing.TabAlignment,DocumentModel.Interop.Word.WdTabAlignment
DocumentModel.Wordprocessing.TabLeader,DocumentModel.Interop.Word.WdTabLeader
DocumentModel.Wordprocessing.TabStopType,MsoTabStopType
DocumentModel.Wordprocessing.TextBoxTightWrap,DocumentModel.Interop.Word.WdTextboxTightWrap
DocumentModel.Wordprocessing.TextDirection,MsoTextDirection
DocumentModel.Wordprocessing.TextOrientation,MsoTextOrientation
DocumentModel.Wordprocessing.TrailingCharacter,DocumentModel.Interop.Word.WdTrailingCharacter
DocumentModel.Wordprocessing.VerticalAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
DocumentModel.Wordprocessing.VerticalAnchor,MsoVerticalAnchor
DocumentModel.Wordprocessing.ViewType,DocumentModel.Interop.Word.WdViewType
DocumentModel.Wordprocessing.Vml.WrapType,DocumentModel.Interop.Word.WdWrapType
OutlineLevel,DocumentModel.Interop.Word.WdOutlineLevel
PaperSize,DocumentModel.Interop.Word.WdPaperSize
DocumentModel.Wordprocessing.BuildingBlockType,DocumentModel.Interop.Word.WdBuildingBlockTypes
DocumentModel.Vml.ConnectType,MsoConnectorType
DocumentModel.Vml.HorizontalRuleAlignment,DocumentModel.Interop.Word.WdHorizontalLineAlignment
DocumentModel.WdColors,DocumentModel.Interop.Word.WdColor
DocumentModel.Wordprocessing.NumberFormat,DocumentModel.Interop.Word.WdNumberForm
DocumentModel.Math.HorizontalAlignment,DocumentModel.Interop.Word.WdHorizontalLineAlignment
DocumentModel.Wordprocessing.HorizontalAlignment,DocumentModel.Interop.Word.WdHorizontalLineAlignment
DocumentModel.Vml.BlackAndWhiteMode,MsoBlackWhiteMode
