InteropEnumsFullName,EnumTypesFullName
DocumentModel.Interop.Core.MsoSortOrder,DocumentModel.Wordprocessing.SortOrder
DocumentModel.Interop.Core.XlAxisType,DocumentModel.Drawings.Diagrams.AxisType
DocumentModel.Interop.Core.XlColorIndex,DocumentModel.Wordprocessing.ColorIndex
DocumentModel.Interop.Core.XlDataLabelPosition,DocumentModel.Drawings.Charts.DataLabelPosition
DocumentModel.Interop.Core.XlDisplayBlanksAs,DocumentModel.Drawings.Charts.DisplayBlanksAs
DocumentModel.Interop.Core.XlErrorBarDirection,DocumentModel.Drawings.Charts.ErrorBarDirection
DocumentModel.Interop.Core.XlErrorBarType,DocumentModel.Drawings.Charts.ErrorBarType
DocumentModel.Interop.Core.XlLegendPosition,DocumentModel.Drawings.Charts.LegendPosition
DocumentModel.Interop.Core.XlMarkerStyle,DocumentModel.Drawings.ChartsStyle.MarkerStyle
DocumentModel.Interop.Core.XlSizeRepresents,DocumentModel.Drawings.Charts.SizeRepresents
DocumentModel.Interop.Core.XlTickLabelPosition,DocumentModel.Drawings.Charts.TickLabelPosition
DocumentModel.Interop.Core.XlTickMark,DocumentModel.Drawings.Charts.TickMark
DocumentModel.Interop.Core.XlTimeUnit,DocumentModel.Drawings.Charts.TimeUnit
DocumentModel.Interop.Core.XlTrendlineType,DocumentModel.Drawings.Charts.TrendlineType
DocumentModel.Interop.Word.WdBaselineAlignment,DocumentModel.Wordprocessing.BaselineAlignment
DocumentModel.Interop.Word.WdBorderType,DocumentModel.Vml.BorderType
DocumentModel.Interop.Word.WdBorderTypeHID,DocumentModel.Vml.BorderType
DocumentModel.Interop.Word.WdBreakType,DocumentModel.Wordprocessing.BreakType
DocumentModel.Interop.Word.WdCaptionPosition,DocumentModel.Wordprocessing.CaptionPosition
DocumentModel.Interop.Word.WdCollapseDirection,DocumentModel.Wordprocessing.CollapseDirection
DocumentModel.Interop.Word.WdColorIndex,DocumentModel.Wordprocessing.ColorIndex
DocumentModel.Interop.Word.WdDocumentType,DocumentModel.Wordprocessing.DocumentType
DocumentModel.Interop.Word.WdEmphasisMark,DocumentModel.Wordprocessing.EmphasisMark
DocumentModel.Interop.Word.WdInformation,DocumentModel.Wordprocessing.Information
DocumentModel.Interop.Word.WdLayoutMode,DocumentModel.Drawings.Charts.LayoutMode
DocumentModel.Interop.Word.WdLigatures,DocumentModel.Wordprocessing.Ligatures
DocumentModel.Interop.Word.WdListLevelAlignment,DocumentModel.Wordprocessing.ListLevelAlignment
DocumentModel.Interop.Word.WdMailMergeDestination,DocumentModel.Wordprocessing.MailMergeDestination
DocumentModel.Interop.Word.WdMeasurementUnits,DocumentModel.Wordprocessing.MeasurementUnits
DocumentModel.Interop.Word.WdMeasurementUnitsHID,DocumentModel.Wordprocessing.MeasurementUnits
